Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
Mercedes-Benz C300 2018,970 triệu,2018,,Xe cũ,Nhập khẩu,50.000 km,Hà Nội,Số tự động,Xăng
Audi A4 2020,1 tỉ 199 triệu,2020,Sedan,Xe cũ,Nhập khẩu,50.000 km,Hà Nội,Số tự động,Xăng
Suzuki Swift GLX 1.2 CVT 2020,455 triệu,2020,Hatchback,Xe cũ,Nhập khẩu,10.000 km,Hà Nội,Số tự động,Xăng
Porsche Cayenne tiêu chuẩn 2015,1 tỉ 890 triệu,2015,SUV,Xe cũ,Nhập khẩu,55.000 km,Hà Nội,Số tự động,Xăng
Lexus NX 300 T 2019,1 tỉ 990 triệu,2019,SUV,Xe cũ,Nhập khẩu,35.000 km,Hà Nội,Số tự động,Xăng
Mini Countryman tiêu chuẩn 2014,690 triệu,2014,Hatchback,Xe cũ,Nhập khẩu,82.000 km,Hà Nội,Số tự động,Xăng
Mercedes-Benz C250 2014,430 triệu,2014,Sedan,Xe cũ,Trong nước,100.000 km,Hà Nội,Số tự động,Xăng
Audi Q7 3.0 TFSI Quattro 2015,1 tỉ 420 triệu,2015,SUV,Xe cũ,Nhập khẩu,80.000 km,Hà Nội,Số tự động,Xăng
Ferrari F8 Spider 2021,9 tỉ 950 triệu,2021,Coupe,Xe cũ,Nhập khẩu,8.000 km,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLC 200 4Matic 2022,1 tỉ 780 triệu,2022,SUV,Xe cũ,Nhập khẩu,29.000 km,Hà Nội,Số tự động,Xăng
Peugeot 3008 Allure 2021,820 triệu,2021,SUV,Xe cũ,Nhập khẩu,20.000 km,Hà Nội,Số tự động,Xăng
Honda City RS 2022,519 triệu,2022,Sedan,Xe cũ,Trong nước,20.000 km,Hà Nội,Số tự động,Xăng
Mitsubishi Xpander AT Premium 2022,599 triệu,2022,SUV,Xe cũ,Trong nước,45.000 km,Hà Nội,Số tự động,Xăng
Mercedes-Benz GLS 600 2021,11 tỉ 200 triệu,2021,SUV,Xe cũ,Nhập khẩu,4.216 km,Hà Nội,Số tự động,Xăng
Hyundai Tucson 2.0 Đặc biệt 2017,605 triệu,2017,Crossover,Xe cũ,Trong nước,80.000 km,Hà Nội,Số tự động,Xăng
